date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:48	11620/11620	---M-Z	200	added ('OK')	text/html	etag:%222d64-61ddc604-9dbc646430d1f112;gz%22	https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/gerador-de-codiguin-free-fire.html	(from )
01:19:48	70/70	---M-Z	200	added ('OK')	text/plain	etag:%226115-1646057848;gz%22	https://ffdiamantes.com/robots.txt		(from )
01:19:48	9138/9138	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a393ad4e03deeab316f7121a80708ce6%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:49	156691/156691	---MC-	200	added ('OK')	text/javascript	date:Tue,%2001%20Mar%202022%2004:19:47%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6681175379289047	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/pagead2.googlesyndication.com/pagead/js/fd889.txt	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:49	42471/42471	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:48%20GMT	https://ffdiamantes.com/p/plump-webfont.html	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/plump-webfont.html	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:49	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:48%20GMT	https://ffdiamantes.com/p/plump-webfont.woff	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/plump-webfont.woff	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:50	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:48%20GMT	https://ffdiamantes.com/p/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:50	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:48%20GMT	https://ffdiamantes.com/p/fonts.googleapis.com/cssaa28aa28aa28aa28.css?family=Anton	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/fonts.googleapis.com/cssaa28aa28aa28aa28aa28.css	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:50	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:49%20GMT	https://ffdiamantes.com/p/fonts.googleapis.com/icone91fe91fe91fe91f.css?family=Material+Icons	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/fonts.googleapis.com/icone91fe91fe91fe91fe91f.css	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:50	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:49%20GMT	https://ffdiamantes.com/p/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/css/materialize.min.css	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/css/materialize.min.css	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:51	42471/42471	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2004:19:49%20GMT	https://ffdiamantes.com/p/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/ffdiamantes.com/p/cdnjs.cloudflare.com/ajax/libs/materialize/1.0.0/js/materialize.min.js	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:51	36968/36968	---M--	200	added ('OK')	image/jpeg	etag:%22v2bea%22	https://1.bp.blogspot.com/-3oOda3GHvC8/YRVIUPDbuzI/AAAAAAAAK-k/qPfgBmCjUT4Afq2EXlsHXu5E400BxAJBQCLcBGAsYHQ/w400-h270/gerador-codiguin.jpeg	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/1.bp.blogspot.com/-3oOda3GHvC8/YRVIUPDbuzI/AAAAAAAAK-k/qPfgBmCjUT4Afq2EXlsHXu5E400BxAJBQCLcBGAsYHQ/w400-h270/gerador-codiguin.jpeg	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:51	51129/51129	---M--	200	added ('OK')	image/png	etag:%22vb6%22	https://1.bp.blogspot.com/-N7y-EPPvsIs/YQsbE5ZHBmI/AAAAAAAAALU/-rx_uvjKqCQM2Y9VJ91sra8eZGrcLla0QCLcBGAsYHQ/w320-h181/CODIGUIN.png	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/1.bp.blogspot.com/-N7y-EPPvsIs/YQsbE5ZHBmI/AAAAAAAAALU/-rx_uvjKqCQM2Y9VJ91sra8eZGrcLla0QCLcBGAsYHQ/w320-h181/CODIGUIN.png	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
01:19:52	76713/76713	---M--	200	added ('OK')	image/jpeg	etag:%22v2bdb%22	https://1.bp.blogspot.com/-3yhVeAhJPeM/YRGuV8Bab6I/AAAAAAAAK9o/iv7gEtlkxF4xLDpOwqyAOOZdM1r91kwtwCLcBGAsYHQ/s750/resgatar-codiguin-free-fire-3.jpg	C:/Users/eduar/Desktop/Codiguin%20Brabo/ghdffgfgfg/1.bp.blogspot.com/-3yhVeAhJPeM/YRGuV8Bab6I/AAAAAAAAK9o/iv7gEtlkxF4xLDpOwqyAOOZdM1r91kwtwCLcBGAsYHQ/s750/resgatar-codiguin-free-fire-3.jpg	(from https://ffdiamantes.com/p/gerador-de-codiguin-free-fire.html)
